序号,角色,作品,CV,预选 轮次1-1,预选 轮次1-2,预选 轮次2-1,预选 轮次2-2,预选 轮次3-1,预选 轮次3-2,第一阶段 轮次 1,第一阶段 轮次 2,第一阶段 轮次 3,第一阶段 轮次 4,第一阶段 轮次 5,第一阶段 轮次 6,第二阶段 轮次 1,第二阶段 轮次 2,第二阶段 轮次 3,第二阶段 轮次 4,第二阶段 轮次 5,第二阶段 轮次 6,第三阶段 轮次 1,第三阶段 轮次 2,第三阶段 轮次 3,第三阶段 轮次 4,第三阶段 轮次 5,第三阶段 轮次 6,第四阶段 轮次 1,第四阶段 轮次 2,第四阶段 轮次 3,第四阶段 轮次 4,第四阶段 轮次 5,第四阶段 轮次 6,第五阶段 轮次 1,第五阶段 轮次 2,第五阶段 轮次 3,第五阶段 轮次 4,第五阶段 轮次 5,第五阶段 轮次 6,淘汰赛阶段 轮次 1,淘汰赛阶段 轮次 2,淘汰赛阶段 轮次 3,淘汰赛阶段 轮次 4,淘汰赛阶段 轮次 5,淘汰赛阶段 轮次 6,淘汰赛阶段 轮次 7,淘汰赛阶段 轮次 8,淘汰赛阶段 轮次 9
106,高海千歌,LoveLive!系列,伊波杏树,,478,,430,748,,402,475,262,741,261,2110.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,有马加奈,【我推的孩子】,潘惠美,,470,327,,,473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,井之上泷奈,莉可丽丝,若山诗音,,467,332,,,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,海老冢智,少女乐队的呐喊,凪都,,439,,506,601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,久石奏,吹响！上低音号,雨宫天,,424,,683,888,,582,657,384,793,1305,2812.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,堀京子,堀与宫村,户松遥,,424,357,,,443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,夏目玲子,夏目友人帐,小林沙苗,,414,,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,三笠·阿克曼,进击的巨人,石川由依,,404,351,,556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,坂上智代,CLANNAD,桑岛法子,,390,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,雾切响子,弹丸论破,日笠阳子,,383,,387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
